QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
4,4:31.0,M. Kidd-Gilchrist makes 2-pt layup at rim,,114,93
4,4:23.0,,R. Baker misses 2-pt layup from 1 ft,114,93
4,4:21.0,Defensive rebound by M. Kidd-Gilchrist,,114,93
4,4:17.0,Offensive foul by M. Kidd-Gilchrist (drawn by T. Hardaway),,114,93
4,4:17.0,Turnover by M. Kidd-Gilchrist (offensive foul),,114,93
4,4:17.0,W. Hernangómez enters the game for M. Williams,,114,93
4,4:03.0,,T. Hardaway misses 3-pt jump shot from 29 ft,114,93
4,4:01.0,Defensive rebound by N. Batum,,114,93
4,3:54.0,W. Hernangómez makes 2-pt layup from 1 ft (assist by M. Monk),,116,93
4,3:41.0,,R. Baker makes 3-pt jump shot from 25 ft (assist by D. Dotson),116,96
4,3:17.0,Turnover by W. Hernangómez (3 sec),,116,96
4,3:17.0,M. Bridges enters the game for M. Kidd-Gilchrist,,116,96
4,3:17.0,,C. Lee enters the game for T. Hardaway,116,96
4,3:09.0,,C. Lee misses 2-pt jump shot from 12 ft,116,96
4,3:07.0,Defensive rebound by M. Monk,,116,96
4,2:59.0,W. Hernangómez misses 3-pt jump shot from 25 ft,,116,96
4,2:57.0,,Defensive rebound by C. Lee,116,96
4,2:38.0,,D. Dotson makes 2-pt jump shot from 16 ft,116,98
4,2:15.0,D. Graham misses 3-pt jump shot from 26 ft,,116,98
4,2:13.0,,Defensive rebound by K. Knox,116,98
4,2:06.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by D. Dotson),116,101
4,1:48.0,Personal foul by C. Lee (drawn by W. Hernangómez),,116,101
4,1:48.0,W. Hernangómez misses free throw 1 of 2,,116,101
4,1:48.0,Offensive rebound by Team,,116,101
4,1:48.0,W. Hernangómez makes free throw 2 of 2,,117,101
4,1:36.0,,D. Dotson makes 2-pt jump shot from 3 ft,117,103
4,1:22.0,N. Batum misses 3-pt jump shot from 26 ft,,117,103
4,1:20.0,,Defensive rebound by R. Baker,117,103
4,1:18.0,,C. Lee makes 2-pt layup from 1 ft (assist by R. Baker),117,105
4,1:18.0,,Shooting foul by N. Batum (drawn by C. Lee),117,105
4,1:18.0,,C. Lee misses free throw 1 of 1,117,105
4,1:16.0,Defensive rebound by N. Batum,,117,105
4,1:03.0,D. Graham makes 2-pt jump shot from 7 ft,,119,105
4,0:49.0,,C. Lee misses 3-pt jump shot from 26 ft,119,105
4,0:47.0,Defensive rebound by M. Bridges,,119,105
4,0:24.0,Turnover by M. Monk (bad pass; steal by R. Baker),,119,105
4,0:19.0,,C. Lee makes 2-pt layup from 1 ft (assist by R. Baker),119,107
4,0:19.0,Violation by Team (def goaltending),,119,107
