QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
4,1:35.0,M. Gasol makes 2-pt jump shot from 13 ft,,94,82
4,1:35.0,,K. Knox misses 3-pt jump shot from 22 ft,94,82
4,1:22.0,Defensive rebound by M. Conley,,94,82
4,1:10.0,M. Conley misses 2-pt jump shot from 9 ft,,94,82
4,1:08.0,,Defensive rebound by M. Hezonja,94,82
4,1:01.0,,Personal foul by S. Mack (drawn by D. Jordan),94,82
4,1:01.0,,D. Jordan makes free throw 1 of 2,94,83
4,1:01.0,,D. Jordan misses free throw 2 of 2,94,83
4,0:58.0,Defensive rebound by J. Holiday,,94,83
4,0:40.0,Turnover by M. Conley (out of bounds lost ball),,94,83
4,0:33.0,,Personal foul by M. Gasol (drawn by D. Smith),94,83
4,0:33.0,,D. Smith makes free throw 1 of 2,94,84
4,0:33.0,,D. Smith misses free throw 2 of 2,94,84
4,0:31.0,Defensive rebound by J. Holiday,,94,84
4,0:16.0,S. Mack misses 2-pt layup from 3 ft (block by D. Smith),,94,84
4,0:16.0,Offensive rebound by Team,,94,84
4,0:14.0,J. Holiday makes 2-pt layup from 1 ft (assist by S. Mack),,96,84
4,0:08.0,,Shooting foul by M. Gasol (drawn by M. Hezonja),96,84
4,0:08.0,,M. Hezonja misses free throw 1 of 2,96,84
4,0:08.0,,Offensive rebound by Team,96,84
4,0:08.0,,M. Hezonja misses free throw 2 of 2,96,84
4,0:07.0,Defensive rebound by M. Gasol,,96,84
