QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
4,2:30.0,Defensive rebound by R. Rubio,,93,106
4,2:22.0,D. Mitchell makes 2-pt layup from 1 ft,,95,106
4,2:01.0,,R. Gay makes 2-pt jump shot from 12 ft (assist by D. DeRozan),95,108
4,1:46.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. O'Neale),,97,108
4,1:24.0,,D. DeRozan misses 3-pt jump shot from 26 ft,97,108
4,1:24.0,Defensive rebound by R. O'Neale,,97,108
4,1:17.0,R. Gobert misses 2-pt dunk from 1 ft (block by J. Poeltl),,97,108
4,1:14.0,,Defensive rebound by D. DeRozan,97,108
4,0:56.0,,D. DeRozan makes 2-pt jump shot from 14 ft,97,110
4,0:46.0,R. Rubio misses 2-pt jump shot from 13 ft,,97,110
4,0:46.0,,Defensive rebound by R. Gay,97,110
4,0:25.0,,P. Mills misses 3-pt jump shot from 26 ft,97,110
4,0:23.0,Defensive rebound by R. Gobert,,97,110
4,0:22.0,Personal foul by D. White (drawn by R. Gobert),,97,110
4,0:22.0,G. Allen enters the game for R. Gobert,,97,110
4,0:22.0,D. Exum enters the game for J. Ingles,,97,110
4,0:22.0,R. Neto enters the game for D. Mitchell,,97,110
4,0:22.0,E. Udoh enters the game for R. Rubio,,97,110
4,0:22.0,,D. Eubanks enters the game for D. DeRozan,97,110
4,0:22.0,,C. Metu enters the game for R. Gay,97,110
4,0:22.0,,Q. Pondexter enters the game for P. Mills,97,110
4,0:02.0,R. Neto misses 3-pt jump shot from 24 ft,,97,110
4,0:02.0,,Defensive rebound by C. Metu,97,110
