QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CLEVELAND_ACTION,LA LAKERS_SCORE,CLEVELAND_SCORE
4,3:10.0,Defensive rebound by K. Kuzma,,96,99
4,2:56.0,L. James makes 3-pt jump shot from 28 ft,,99,99
4,2:34.0,,Personal foul by K. Kuzma (drawn by J. Clarkson),99,99
4,2:22.0,,J. Clarkson misses 2-pt jump shot from 6 ft,99,99
4,2:19.0,Defensive rebound by L. James,,99,99
4,2:19.0,Personal foul by C. Osman (drawn by L. James),,99,99
4,2:19.0,L. James makes free throw 1 of 2,,100,99
4,2:19.0,,D. Nwaba enters the game for J. Clarkson,100,99
4,2:19.0,L. James makes free throw 2 of 2,,101,99
4,1:59.0,,C. Osman misses 2-pt layup from 4 ft,101,99
4,1:56.0,Defensive rebound by L. James,,101,99
4,1:45.0,Personal foul by D. Nwaba (drawn by L. James),,101,99
4,1:45.0,L. James misses free throw 1 of 2,,101,99
4,1:45.0,Offensive rebound by Team,,101,99
4,1:45.0,L. James makes free throw 2 of 2,,102,99
4,1:32.0,,Personal foul by L. James (drawn by C. Sexton),102,99
4,1:27.0,,C. Osman makes 3-pt jump shot from 26 ft,102,102
4,1:11.0,J. McGee makes 2-pt layup from 1 ft (assist by L. Ball),,104,102
4,0:49.0,,C. Osman misses 2-pt layup from 1 ft (block by J. McGee),104,102
4,0:46.0,Defensive rebound by L. Ball,,104,102
4,0:25.0,L. James misses 3-pt jump shot from 25 ft,,104,102
4,0:22.0,Offensive rebound by Team,,104,102
4,0:22.0,K. Caldwell-Pope enters the game for J. McGee,,104,102
4,0:22.0,,L. Nance enters the game for D. Nwaba,104,102
4,0:19.0,Personal foul by T. Thompson,,104,102
4,0:19.0,L. James misses free throw 1 of 2,,104,102
4,0:19.0,Offensive rebound by Team,,104,102
4,0:19.0,L. James makes free throw 2 of 2,,105,102
4,0:19.0,,Cleveland full timeout,105,102
4,0:19.0,,J. Clarkson enters the game for C. Sexton,105,102
4,0:19.0,,K. Korver enters the game for T. Thompson,105,102
4,0:18.0,,K. Korver misses 3-pt jump shot from 28 ft,105,102
4,0:15.0,Defensive rebound by K. Caldwell-Pope,,105,102
4,0:15.0,Personal foul by R. Hood (drawn by K. Caldwell-Pope),,105,102
4,0:15.0,K. Caldwell-Pope makes free throw 1 of 2,,106,102
4,0:15.0,K. Caldwell-Pope makes free throw 2 of 2,,107,102
4,0:15.0,,Cleveland full timeout,107,102
4,0:12.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by R. Hood),107,105
4,0:11.0,LA Lakers full timeout,,107,105
4,0:11.0,,D. Nwaba enters the game for K. Korver,107,105
4,0:11.0,,C. Sexton enters the game for L. Nance,107,105
4,0:09.0,Personal foul by J. Clarkson (drawn by K. Caldwell-Pope),,107,105
4,0:09.0,K. Caldwell-Pope makes free throw 1 of 2,,108,105
4,0:09.0,,K. Korver enters the game for D. Nwaba,108,105
4,0:09.0,K. Caldwell-Pope makes free throw 2 of 2,,109,105
4,0:04.0,,J. Clarkson misses 3-pt jump shot from 27 ft,109,105
4,0:00.0,Defensive rebound by K. Caldwell-Pope,,109,105
