QUARTER,TIME_REMAINING,MEMPHIS_ACTION,WASHINGTON_ACTION,MEMPHIS_SCORE,WASHINGTON_SCORE
4,4:59.0,Personal foul by T. Bryant (drawn by J. Valančiūnas),,114,121
4,4:55.0,Personal foul by T. Bryant (drawn by M. Conley),,114,121
4,4:55.0,M. Conley makes free throw 1 of 2,,115,121
4,4:55.0,M. Conley makes free throw 2 of 2,,116,121
4,4:35.0,,J. Parker misses 2-pt layup from 3 ft,116,121
4,4:32.0,,Offensive rebound by T. Bryant,116,121
4,4:31.0,,T. Bryant misses 2-pt layup from 2 ft,116,121
4,4:30.0,,Offensive rebound by J. Parker,116,121
4,4:26.0,,T. Satoranský misses 2-pt jump shot from 13 ft,116,121
4,4:22.0,Defensive rebound by J. Valančiūnas,,116,121
4,4:16.0,A. Bradley misses 3-pt jump shot from 27 ft,,116,121
4,4:09.0,,Defensive rebound by J. Parker,116,121
4,3:54.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by B. Beal),116,123
4,3:43.0,J. Holiday misses 2-pt jump shot from 8 ft,,116,123
4,3:43.0,,Defensive rebound by T. Satoranský,116,123
4,3:37.0,,B. Beal misses 3-pt jump shot from 26 ft,116,123
4,3:37.0,Defensive rebound by M. Conley,,116,123
4,3:29.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by M. Conley),,119,123
4,3:28.0,,Washington full timeout,119,123
4,3:28.0,C. Parsons enters the game for J. Holiday,,119,123
4,3:13.0,,B. Beal misses 2-pt layup from 3 ft,119,123
4,3:09.0,,Offensive rebound by T. Bryant,119,123
4,3:09.0,,T. Bryant misses 2-pt layup from 2 ft,119,123
4,3:07.0,,Offensive rebound by B. Beal,119,123
4,2:59.0,,Shooting foul by A. Bradley (drawn by T. Satoranský),119,123
4,2:59.0,,T. Satoranský makes free throw 1 of 2,119,124
4,2:59.0,,T. Satoranský makes free throw 2 of 2,119,125
4,2:41.0,A. Bradley misses 3-pt jump shot from 25 ft,,119,125
4,2:38.0,,Defensive rebound by T. Satoranský,119,125
4,2:22.0,,J. Parker misses 2-pt layup from 4 ft,119,125
4,2:20.0,Defensive rebound by J. Valančiūnas,,119,125
4,2:16.0,D. Wright misses 3-pt jump shot from 23 ft,,119,125
4,2:11.0,,Defensive rebound by T. Satoranský,119,125
4,1:50.0,,Shooting foul by C. Parsons (drawn by J. Parker),119,125
4,1:50.0,,J. Parker misses free throw 1 of 2,119,125
4,1:50.0,,Offensive rebound by Team,119,125
4,1:50.0,,J. Parker makes free throw 2 of 2,119,126
4,1:41.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by C. Parsons),,121,126
4,1:23.0,,Turnover by B. Beal (bad pass),121,126
4,1:10.0,Shooting foul by T. Bryant (drawn by M. Conley),,121,126
4,1:10.0,M. Conley makes free throw 1 of 2,,122,126
4,1:10.0,J. Holiday enters the game for C. Parsons,,122,126
4,1:10.0,J. Noah enters the game for J. Valančiūnas,,122,126
4,1:10.0,I. Rabb enters the game for D. Wright,,122,126
4,1:10.0,M. Conley makes free throw 2 of 2,,123,126
4,0:50.0,,J. Green makes 3-pt jump shot from 26 ft (assist by T. Bryant),123,129
4,0:50.0,Memphis full timeout,,123,129
4,0:50.0,C. Parsons enters the game for J. Noah,,123,129
4,0:50.0,J. Valančiūnas enters the game for I. Rabb,,123,129
4,0:47.0,M. Conley makes 3-pt jump shot from 26 ft (assist by C. Parsons),,126,129
4,0:22.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Bryant),126,131
4,0:17.0,M. Conley misses 3-pt jump shot from 26 ft,,126,131
4,0:17.0,Offensive rebound by J. Holiday,,126,131
4,0:07.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by M. Conley),,128,131
4,0:06.0,,Clear path foul by C. Parsons,128,131
4,0:06.0,,J. Parker makes clear path free throw 1 of 2,128,132
4,0:06.0,,J. Parker makes clear path free throw 2 of 2,128,133
4,0:06.0,J. Noah enters the game for C. Parsons,,128,133
4,0:06.0,D. Wright enters the game for J. Valančiūnas,,128,133
4,0:05.0,,Personal take foul by D. Wright (drawn by T. Satoranský),128,133
4,0:05.0,,T. Satoranský makes free throw 1 of 2,128,134
4,0:05.0,,C. Randle enters the game for B. Beal,128,134
4,0:05.0,,T. Satoranský makes free throw 2 of 2,128,135
