QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
4,3:11.0,,Defensive rebound by J. Jerebko,85,115
4,2:57.0,,Q. Cook misses 2-pt jump shot from 12 ft,85,115
4,2:55.0,Defensive rebound by M. Hezonja,,85,115
4,2:50.0,Shooting foul by J. Bell (drawn by K. Knox),,85,115
4,2:50.0,K. Knox makes free throw 1 of 2,,86,115
4,2:50.0,K. Knox makes free throw 2 of 2,,87,115
4,2:36.0,,J. Jerebko makes 3-pt jump shot from 28 ft (assist by Q. Cook),87,118
4,2:19.0,M. Hezonja misses 3-pt jump shot from 28 ft,,87,118
4,2:17.0,,Defensive rebound by J. Evans,87,118
4,2:08.0,,A. McKinnie misses 3-pt jump shot from 23 ft,87,118
4,2:06.0,,Offensive rebound by J. Bell,87,118
4,2:03.0,,Q. Cook makes 2-pt layup from 2 ft (assist by J. Bell),87,120
4,1:47.0,K. Knox misses 2-pt jump shot from 16 ft,,87,120
4,1:46.0,,Defensive rebound by J. Jerebko,87,120
4,1:38.0,,Turnover by Q. Cook (lost ball; steal by M. Hezonja),87,120
4,1:36.0,M. Hezonja makes 2-pt dunk from 2 ft,,89,120
4,1:28.0,,Turnover by J. Evans (bad pass; steal by M. Hezonja),89,120
4,1:26.0,M. Hezonja makes 2-pt dunk from 1 ft,,91,120
4,1:11.0,Violation by Team (kicked ball),,91,120
4,1:05.0,,Q. Cook makes 2-pt jump shot from 18 ft,91,122
4,0:55.0,T. Burke misses 2-pt layup from 4 ft,,91,122
4,0:54.0,Offensive rebound by Team,,91,122
4,0:46.0,Shooting foul by J. Evans (drawn by M. Hezonja),,91,122
4,0:46.0,M. Hezonja makes free throw 1 of 2,,92,122
4,0:46.0,M. Hezonja makes free throw 2 of 2,,93,122
4,0:35.0,,J. Jerebko misses 2-pt layup from 3 ft,93,122
4,0:34.0,Defensive rebound by Team,,93,122
4,0:21.0,M. Hezonja makes 2-pt jump shot from 8 ft,,95,122
