QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
4,5:29.0,W. Selden misses 2-pt jump shot from 5 ft (block by J. Bell),,95,131
4,5:28.0,,Defensive rebound by J. Bell,95,131
4,5:22.0,,J. Bell misses 2-pt layup from 2 ft,95,131
4,5:21.0,Defensive rebound by W. Selden,,95,131
4,5:13.0,R. Arcidiacono makes 3-pt jump shot from 22 ft (assist by W. Selden),,98,131
4,5:09.0,,Golden State full timeout,98,131
4,5:04.0,,J. Bell makes 2-pt jump shot from 18 ft,98,133
4,4:48.0,Personal foul by A. McKinnie (drawn by C. Felício),,98,133
4,4:48.0,C. Felício makes free throw 1 of 2,,99,133
4,4:48.0,C. Felício makes free throw 2 of 2,,100,133
4,4:30.0,,J. Jerebko misses 3-pt jump shot from 27 ft,100,133
4,4:28.0,,Offensive rebound by M. Derrickson,100,133
4,4:27.0,,M. Derrickson makes 2-pt layup from 1 ft,100,135
4,4:08.0,C. Hutchison misses 3-pt jump shot from 23 ft,,100,135
4,4:06.0,,Defensive rebound by Q. Cook,100,135
4,3:55.0,,J. Bell misses 2-pt jump shot from 18 ft,100,135
4,3:51.0,,Offensive rebound by Team,100,135
4,3:44.0,,J. Bell makes 2-pt jump shot from 12 ft (assist by J. Jerebko),100,137
4,3:29.0,A. Blakeney makes 3-pt jump shot from 27 ft,,103,137
4,3:21.0,,Personal foul by A. Blakeney (drawn by M. Derrickson),103,137
4,3:09.0,,J. Bell makes 2-pt jump shot from 13 ft,103,139
4,2:46.0,A. Blakeney misses 2-pt jump shot from 12 ft,,103,139
4,2:45.0,,Defensive rebound by A. McKinnie,103,139
4,2:31.0,,M. Derrickson makes 2-pt jump shot from 15 ft (assist by J. Jerebko),103,141
4,2:17.0,W. Selden misses 3-pt jump shot from 28 ft,,103,141
4,2:15.0,,Defensive rebound by A. McKinnie,103,141
4,2:02.0,,Shooting foul by W. Selden (drawn by M. Derrickson),103,141
4,2:02.0,,M. Derrickson misses free throw 1 of 2,103,141
4,2:02.0,,Offensive rebound by Team,103,141
4,2:02.0,,M. Derrickson makes free throw 2 of 2,103,142
4,1:46.0,W. Selden misses 2-pt layup from 4 ft (block by J. Bell),,103,142
4,1:44.0,,Defensive rebound by Q. Cook,103,142
4,1:32.0,,J. Bell misses 2-pt hook shot from 6 ft,103,142
4,1:31.0,Defensive rebound by R. Arcidiacono,,103,142
4,1:21.0,C. Felício makes 2-pt layup from 2 ft (assist by W. Selden),,105,142
4,1:10.0,,Q. Cook misses 3-pt jump shot from 28 ft,105,142
4,1:08.0,,Offensive rebound by Team,105,142
4,1:08.0,,Turnover by M. Derrickson (bad pass; steal by C. Hutchison),105,142
4,1:00.0,C. Hutchison makes 2-pt dunk from 2 ft,,107,142
4,0:44.0,,J. Bell makes 2-pt jump shot from 18 ft,107,144
4,0:34.0,A. Blakeney makes 2-pt layup from 2 ft,,109,144
4,0:19.0,,Q. Cook makes 2-pt layup from 3 ft,109,146
4,0:13.0,C. Felício misses 3-pt jump shot from 25 ft,,109,146
4,0:11.0,,Defensive rebound by A. McKinnie,109,146
